layout,alpha_i,alpha_j,joint_success,goal_reached_i,goal_reached_j,collision,num_collisions,lava_hit_i,lava_hit_j,timesteps,collision_timesteps,trajectory_i,trajectory_j
wide_corridor,0.0,0.0,True,True,True,False,0,False,False,5,[],"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1)]","[(1, 2), (2, 2), (3, 2), (4, 2), (5, 2)]"
wide_corridor,0.5,0.5,True,True,True,False,0,False,False,5,[],"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1)]","[(1, 2), (2, 2), (3, 2), (4, 2), (5, 2)]"
wide_corridor,1.0,1.0,True,True,True,False,0,False,False,5,[],"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1)]","[(1, 2), (2, 2), (3, 2), (4, 2), (5, 2)]"
wide_corridor,1.0,0.0,True,True,True,False,0,False,False,5,[],"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1)]","[(1, 2), (2, 2), (3, 2), (4, 2), (5, 2)]"
wide_corridor,0.0,1.0,True,True,True,False,0,False,False,5,[],"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1)]","[(1, 2), (2, 2), (3, 2), (4, 2), (5, 2)]"
bottleneck,0.0,0.0,True,True,True,False,0,False,False,10,[],"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (7, 1), (7, 1), (7, 1)]","[(1, 2), (1, 2), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (5, 2), (6, 2), (7, 2)]"
bottleneck,0.5,0.5,True,True,True,False,0,False,False,10,[],"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (7, 1), (7, 1), (7, 1)]","[(1, 2), (1, 2), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (5, 2), (6, 2), (7, 2)]"
bottleneck,1.0,1.0,True,True,True,False,0,False,False,10,[],"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (7, 1), (7, 1), (7, 1)]","[(1, 2), (1, 2), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (5, 2), (6, 2), (7, 2)]"
bottleneck,1.0,0.0,True,True,True,False,0,False,False,10,[],"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (7, 1), (7, 1), (7, 1)]","[(1, 2), (1, 2), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (5, 2), (6, 2), (7, 2)]"
bottleneck,0.0,1.0,True,True,True,False,0,False,False,10,[],"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (7, 1), (7, 1), (7, 1)]","[(1, 2), (1, 2), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (5, 2), (6, 2), (7, 2)]"
crossed_goals,0.0,0.0,False,False,False,False,0,False,False,25,[],"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1)]","[(1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2)]"
crossed_goals,0.5,0.5,False,False,False,False,0,False,False,25,[],"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1)]","[(1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2)]"
crossed_goals,1.0,1.0,False,False,False,False,0,False,False,25,[],"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1)]","[(1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2)]"
crossed_goals,1.0,0.0,False,False,False,False,0,False,False,25,[],"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1)]","[(1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2)]"
crossed_goals,0.0,1.0,False,False,False,False,0,False,False,25,[],"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1), (4, 1), (5, 1)]","[(1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2), (4, 2), (5, 2)]"
