layout,start_config,alpha_i,alpha_j,seed,sweep_type,complexity,both_success,single_success,failure,goal_reached_i,goal_reached_j,lava_collision,lava_hit_i,lava_hit_j,cell_collision,edge_collision,num_collisions,paralysis,paralysis_type,cycle_length,stay_streak,timesteps,steps_i,steps_j,arrival_order,arrival_gap,G_i,G_j,trajectory_i,trajectory_j
vertical_bottleneck,A,0.0,0.0,42,asymmetric,4,False,False,True,False,False,False,False,False,True,False,1,False,,,0,3,3,3,neither,0,14.0,-16.0,"[(1, 2), (2, 2), (3, 2)]","[(4, 5), (3, 5), (3, 4)]"
vertical_bottleneck,A,0.0,0.5,42,asymmetric,4,True,False,False,True,True,False,False,False,False,False,0,False,,,0,11,7,11,i_first,4,-50.0,-22.0,"[(1, 2), (2, 2), (3, 2), (3, 3), (3, 4), (3, 5), (2, 5), (1, 5), (1, 5), (1, 5), (1, 5)]","[(4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (3, 5), (3, 4), (3, 3), (3, 2)]"
vertical_bottleneck,A,0.0,1.0,42,asymmetric,4,True,False,False,True,True,False,False,False,False,False,0,False,,,0,11,7,11,i_first,4,-50.0,-22.0,"[(1, 2), (2, 2), (3, 2), (3, 3), (3, 4), (3, 5), (2, 5), (1, 5), (1, 5), (1, 5), (1, 5)]","[(4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (3, 5), (3, 4), (3, 3), (3, 2)]"
vertical_bottleneck,A,0.5,0.0,42,asymmetric,4,True,False,False,True,True,False,False,False,False,False,0,False,,,0,11,11,5,j_first,-6,-26.0,-56.0,"[(1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (2, 2), (3, 2), (3, 3), (3, 4), (3, 5), (2, 5)]","[(4, 5), (3, 5), (3, 4), (3, 3), (3, 2), (4, 2), (4, 2), (4, 2), (4, 2), (4, 2), (4, 2)]"
vertical_bottleneck,A,0.5,0.5,42,asymmetric,4,False,False,True,False,False,False,False,False,False,False,0,True,cycle,1.0,0,15,15,15,neither,0,90.0,90.0,"[(1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2)]","[(4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5)]"
vertical_bottleneck,A,0.5,1.0,42,asymmetric,4,False,False,True,False,False,False,False,False,False,False,0,True,cycle,1.0,0,15,15,15,neither,0,90.0,90.0,"[(1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2)]","[(4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5)]"
vertical_bottleneck,A,1.0,0.0,42,asymmetric,4,True,False,False,True,True,False,False,False,False,False,0,False,,,0,11,11,5,j_first,-6,-26.0,-56.0,"[(1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (2, 2), (3, 2), (3, 3), (3, 4), (3, 5), (2, 5)]","[(4, 5), (3, 5), (3, 4), (3, 3), (3, 2), (4, 2), (4, 2), (4, 2), (4, 2), (4, 2), (4, 2)]"
vertical_bottleneck,A,1.0,0.5,42,asymmetric,4,False,False,True,False,False,False,False,False,False,False,0,True,cycle,1.0,0,15,15,15,neither,0,90.0,90.0,"[(1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2)]","[(4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5)]"
vertical_bottleneck,A,1.0,1.0,42,asymmetric,4,False,False,True,False,False,False,False,False,False,False,0,True,cycle,1.0,0,15,15,15,neither,0,90.0,90.0,"[(1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2), (1, 2)]","[(4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5), (4, 5)]"
vertical_bottleneck,B,0.0,0.0,42,asymmetric,4,False,False,True,False,False,False,False,False,True,False,1,False,,,0,3,3,3,neither,0,-16.0,14.0,"[(4, 5), (3, 5), (3, 4)]","[(1, 2), (2, 2), (3, 2)]"
